tag,votes,occurrences
indie,547414,6304
action,827366,5048
singleplayer,601640,4482
adventure,585096,4335
casual,259065,3422
strategy,407904,2523
multiplayer,616210,2068
simulation,308929,2068
rpg,380488,1991
2d,203841,1990
atmospheric,312338,1737
puzzle,139432,1722
great soundtrack,180888,1630
story rich,234004,1327
shooter,314724,1198
sci-fi,175999,1196
first-person,319081,1134
platformer,112232,1117
funny,188115,1100
fantasy,147410,1089
difficult,136214,1086
open world,431682,1061
co-op,338243,1060
pixel graphics,119980,1049
horror,225691,1044
female protagonist,97669,1041
arcade,72831,953
retro,58955,950
free to play,421072,887
point & click,75240,824
anime,93276,813
classic,72387,802
fps,307959,776
early access,56693,774
exploration,187061,757
comedy,131805,755
survival,329725,723
family friendly,71459,722
sandbox,261707,712
third person,177181,690
cute,68962,646
turn-based,67708,627
space,96226,626
vr,36771,605
gore,87835,579
controller,50866,538
tactical,96705,495
local co-op,53344,484
local multiplayer,42141,483
colorful,55967,480
psychological horror,57234,466
sports,42019,453
visual novel,48918,440
side scroller,38483,435
online co-op,208504,429
shoot 'em up,25711,424
racing,78167,420
massively multiplayer,116119,413
rts,67818,407
zombies,139654,404
mystery,36376,401
turn-based strategy,67944,399
top-down,46347,397
management,73158,374
violent,35708,374
building,131689,372
short,23792,372
historical,55194,367
nudity,51273,364
rogue-like,53455,361
physics,71791,358
dark,55634,358
action rpg,124785,343
replay value,64981,343
puzzle-platformer,40142,332
3d,58885,327
war,74315,327
pvp,138924,321
choices matter,71010,312
hidden object,15073,308
memes,33627,303
hack and slash,69538,303
isometric,43976,299
relaxing,48816,293
crafting,129677,291
survival horror,89058,285
realistic,92447,283
bullet hell,31768,281
fast-paced,28792,274
stealth,81955,274
procedural generation,42742,273
character customization,88000,264
walking simulator,33570,262
1990's,16889,258
old school,22251,256
tower defense,36933,254
third-person shooter,76091,253
action-adventure,41081,253
moddable,113528,249
military,71057,243
post-apocalyptic,106409,242
rogue-lite,26668,240
jrpg,29192,233
medieval,44883,228
cartoony,31395,228
4 player local,24046,224
sexual content,24624,224
dungeon crawler,39960,222
rpgmaker,11219,220
mature,62302,214
competitive,57411,214
magic,32056,213
turn-based combat,25641,210
futuristic,23542,208
multiple endings,43599,205
robots,31053,201
surreal,20157,200
minimalist,16697,199
turn-based tactics,33172,197
dark fantasy,52837,192
stylized,26401,190
education,15081,190
choose your own adventure,32171,189
romance,21534,189
cyberpunk,24774,188
aliens,26678,187
driving,46136,185
board game,17871,184
detective,16509,183
world war ii,30713,179
top-down shooter,15340,178
flight,21930,178
base-building,66219,177
fighting,32298,177
beat 'em up,19442,176
hand-drawn,16592,173
2.5d,13012,172
dating sim,21296,171
cult classic,10734,171
resource management,29211,166
economy,40254,164
music,14254,163
twin stick shooter,12150,161
card game,20537,161
metroidvania,22948,160
action roguelike,33252,159
automobile sim,71474,158
3d platformer,23828,154
city builder,36701,154
level editor,25526,149
grand strategy,39802,149
2d platformer,24633,149
interactive fiction,10383,148
remake,12871,143
dark humor,31165,142
perma death,21989,139
mmorpg,29726,138
steampunk,17349,137
linear,14406,135
wargame,19545,129
pve,54386,124
cartoon,14350,123
abstract,10636,123
party-based rpg,17685,121
utilities,7666,121
team-based,83071,120
space sim,23996,120
parkour,37536,118
real time tactics,22829,115
match 3,5580,115
loot,38000,114
combat,26238,112
arena shooter,10817,111
addictive,10456,110
4x,22830,109
real-time with pause,14651,109
touch-friendly,6546,109
lgbtq+,9532,107
destruction,23200,104
split screen,10373,104
time management,8435,103
crime,42609,103
experimental,5551,101
score attack,8188,100
crpg,14380,100
psychedelic,9683,99
illuminati,8907,99
real-time,11300,99
rhythm,10827,98
design & illustration,5888,97
logic,11761,97
beautiful,9235,96
dystopian ,15488,93
text-based,5112,92
mechs,9305,92
tactical rpg,20872,92
kickstarter,5168,91
1980s,9085,91
mouse only,4707,90
pirates,9058,89
open world survival craft,154141,89
software,6334,86
lovecraftian,9641,85
immersive sim,36217,85
drama,8100,84
strategy rpg,13996,84
noir,9321,84
hentai,9191,83
2d fighter,12767,81
blood,14835,81
narration,11796,80
psychological,12037,80
alternate history,17134,78
hex grid,7110,78
naval,6770,77
comic book,8705,77
demons,7912,77
tabletop,9964,76
voxel,12892,75
supernatural,8327,74
moba,28739,72
precision platformer,15877,71
nostalgia,6855,71
animation & modeling,6021,71
otome,4968,70
escape room,1163,69
runner,5121,69
soundtrack,6504,68
tanks,16011,68
cinematic,11996,66
god game,7243,66
episodic,9240,65
dwarf,4290,64
dragons,19020,63
3d vision,4684,63
trading card game,12781,63
grid-based movement,5760,63
emotional,8719,63
ninja,14795,62
parody ,5113,62
mythology,6338,62
gothic,6458,61
cold war,8236,61
game development,4658,61
clicker,9800,59
trading,14121,58
epic,6074,57
e-sports,29860,57
nature,7951,56
boomer shooter,2064,56
science,13829,55
villain protagonist,6161,55
investigation,6917,55
fmv,2818,55
vehicular combat,18108,55
thriller,4931,54
colony sim,21373,52
america,10011,52
underwater,11885,52
time travel,7232,52
vampire,4948,51
superhero,10670,51
life sim,9810,50
hacking,12334,50
cats,4062,50
political,5933,50
politics,4702,50
western,7837,50
co-op campaign,11532,49
bullet time,6074,49
video production,2696,49
sequel,2747,48
swordplay,6495,48
dinosaurs,16902,46
satire,6488,45
based on a novel,5866,45
class-based,21510,44
character action game,5829,44
software training,1357,43
games workshop,4137,43
capitalism,8122,42
gamemaker,2149,42
lore-rich,25757,42
trains,5344,42
naval combat,10091,41
card battler,11112,41
dark comedy,6858,41
deckbuilding,10959,41
party game,4712,40
assassin,14425,40
agriculture,3347,40
diplomacy,19351,40
world war i,3518,40
artificial intelligence,4988,39
quick-time events,5719,39
hunting,8963,38
souls-like,22461,38
time manipulation,5824,38
farming sim,6684,37
nsfw,3324,36
combat racing,6897,36
programming,4112,36
conversation,5632,35
inventory management,7470,35
spectacle fighter,5011,35
football (soccer),8466,34
crowdfunded,2206,34
conspiracy,3423,34
nonlinear,3727,33
immersive,5369,33
asynchronous multiplayer,2813,33
party,5029,32
mining,4639,32
modern,8037,32
time attack,2080,31
audio production,967,31
typing,3349,30
dog,7746,30
political sim,7118,30
philosophical,4914,29
on-rails shooter,4605,29
mod,6965,29
martial arts,3113,28
offroad,4014,28
traditional roguelike,6071,28
gun customization,14229,27
6dof,1416,27
silent protagonist,5889,27
collectathon,4744,26
rome,3367,26
warhammer 40k,4556,26
chess,1993,26
photo editing,1354,25
