app_id,tags
10,"['action', 'fps', 'multiplayer', 'shooter', 'classic', 'team-based', 'first-person', 'competitive', 'tactical', ""1990's"", 'e-sports', 'pvp', 'old school', 'military', 'strategy', 'survival', 'score attack', '1980s', 'assassin', 'nostalgia']"
1002,"['2d fighter', 'martial arts', 'intentionally awkward controls', 'physics', 'indie', 'multiplayer', 'fighting', 'singleplayer', 'action', '2d']"
100400,"['animation & modeling', 'software']"
10090,"['zombies', 'world war ii', 'fps', 'multiplayer', 'action', 'shooter', 'singleplayer', 'co-op', 'first-person', 'moddable', 'war', 'online co-op', 'gore', 'historical', 'classic', 'survival', 'great soundtrack', 'horror', 'tanks', 'adventure']"
100980,"['animation & modeling', 'utilities', 'design & illustration', 'photo editing', 'education', 'game development']"
10100,"['adventure', 'point & click', 'classic', 'fantasy', 'retro', 'pixel graphics', 'puzzle', ""1990's"", '1980s', 'singleplayer', 'old school', '2d', 'female protagonist', 'escape room']"
10110,"['adventure', 'point & click', 'classic', 'comedy', 'retro', 'space', ""1990's"", 'futuristic', 'robots', 'survival', 'epic', 'replay value', '2d', 'funny', 'singleplayer', 'remake', 'cult classic', 'story rich', 'escape room']"
10120,"['action', 'casual', 'space', 'on-rails shooter', 'arcade']"
10130,"['action', 'fps', 'time manipulation', 'sci-fi', 'shooter', 'first-person', 'singleplayer', 'atmospheric', 'bullet time', 'classic', 'multiplayer', 'futuristic', 'time travel', 'alternate history', 'gore']"
10140,"['sports', 'mini golf', 'golf', 'local multiplayer', 'singleplayer']"
10150,"['action', 'open world', 'gore', 'singleplayer', 'third person', 'adventure', 'superhero', 'parkour', 'violent', 'hack and slash', 'zombies', 'action-adventure', 'sci-fi', 'story rich', 'sandbox', 'rpg', 'stealth', 'controller', 'atmospheric', 'horror']"
10180,"['action', 'fps', 'multiplayer', 'shooter', 'first-person', 'singleplayer', 'war', 'military', 'co-op', 'online co-op', 'pvp', 'great soundtrack', 'story rich', 'atmospheric', 'controller', 'adventure', 'tactical', 'linear', 'strategy', 'moddable']"
10220,"['action', 'gore', 'dark humor', 'violent', 'third-person shooter', 'funny', 'open world', 'third person', 'singleplayer', 'shooter', 'comedy', 'psychological horror', 'mature', 'sandbox', 'nudity', 'great soundtrack', 'sexual content', 'adventure', 'hentai', 'anime']"
102200,"['card battler', 'card game', 'deckbuilding', 'rpg', 'indie', 'casual', 'adventure', 'fantasy', 'singleplayer']"
10230,"['adventure', 'point & click', 'atmospheric']"
10240,"['adventure', 'point & click', 'world war ii']"
10250,"['simulation', 'naval']"
102500,"['rpg', 'fantasy', 'open world', 'singleplayer', 'action rpg', 'action', 'adventure', 'third person', 'loot', 'story rich', 'magic', 'character customization', 'hack and slash', 'exploration', 'controller', 'sandbox', 'atmospheric', 'crafting', 'female protagonist', 'great soundtrack']"
10260,"['simulation', 'world war ii', 'naval']"
102600,"['tower defense', 'action', 'strategy', 'third person', 'fantasy', 'indie', 'singleplayer', 'comedy', 'funny', 'third-person shooter', 'cartoony', 'magic', 'great soundtrack', 'multiplayer', 'score attack', 'addictive', 'shooter', 'adventure', 'rpg', 'arcade']"
10270,"['rpg', 'strategy', 'turn-based strategy', 'turn-based', 'fantasy', 'dark fantasy', 'gothic', 'singleplayer', 'multiplayer', 'atmospheric', 'adventure', 'classic']"
102700,"['free to play', 'fps', 'action', 'multiplayer', 'shooter', 'zombies', 'first-person', 'co-op', 'massively multiplayer', 'singleplayer', 'online co-op', 'adventure', 'survival', 'open world', 'strategy', 'military', 'funny', 'gore', 'horror', 'controller']"
102810,"['action', 'indie', 'adventure', 'twin stick shooter', 'co-op', 'steampunk', 'local co-op', 'shooter', 'mechs']"
102840,"['action', ""beat 'em up"", 'indie', '2d', 'adventure', 'local co-op', 'side scroller', 'co-op', 'platformer', 'gore', 'hack and slash', 'mature', 'shooter', 'multiplayer', 'controller', 'singleplayer', 'stylized', 'violent', 'difficult', 'cartoon']"
102850,"['action', 'adventure', 'indie', 'puzzle', 'stealth', 'aliens', 'gore', 'top-down', 'singleplayer']"
104000,"['strategy', 'tower defense', 'indie', 'casual']"
104020,"['indie', 'casual', 'platformer']"
104100,"['indie', 'action', 'strategy', 'procedural generation', 'pixel graphics', 'rogue-like']"
104200,"['indie', 'platformer', 'adventure', '2d', 'singleplayer', 'physics', 'puzzle', 'action', 'robots', 'casual', 'strategy', 'difficult', 'great soundtrack', 'shooter', ""shoot 'em up"", 'sci-fi', 'family friendly', 'arcade', 'funny', 'atmospheric']"
10460,"['action', 'arcade', 'third-person shooter', 'singleplayer']"
104600,"['documentary', 'game development', 'story rich', 'action', 'puzzle', 'adventure', 'beautiful', 'movie', 'emotional', 'linear', 'feature film', 'singleplayer', 'short', 'co-op', 'multiplayer', 'online co-op']"
104700,"['free to play', 'action', 'multiplayer', 'moba', 'shooter', 'third-person shooter', 'strategy', 'funny', 'indie', 'sports', 'competitive', 'character customization', 'massively multiplayer', 'co-op', 'third person', 'comedy', 'first-person', 'adventure', 'class-based', 'singleplayer']"
104900,"['dinosaurs', 'action', 'fps', 'multiplayer', 'online co-op', 'co-op', 'shooter', 'adventure', 'indie', 'open world', 'sci-fi', 'first-person', 'team-based', 'third-person shooter', 'singleplayer', 'pvp', 'mechs', 'epic', 'third person', 'strategy']"
10500,"['strategy', 'historical', 'military', 'grand strategy', 'turn-based strategy', 'war', 'tactical', 'rts', 'multiplayer', 'singleplayer', 'turn-based', 'naval', 'america', 'real time tactics', 'action', 'great soundtrack', 'turn-based tactics', 'atmospheric', 'classic', 'adventure']"
105000,"['adventure', 'point & click', 'indie', 'singleplayer', 'puzzle', 'retro', 'great soundtrack', 'classic', ""1990's"", 'cult classic', 'sci-fi', 'escape room', 'time travel', '2d', 'female protagonist', 'atmospheric', 'post-apocalyptic', 'hand-drawn']"
105100,"['adventure', 'indie', 'point & click', 'casual', 'puzzle', 'short', 'female protagonist', 'singleplayer']"
10530,"['action', 'rpg', 'sci-fi']"
105300,"['casual', 'indie', 'puzzle', 'singleplayer', 'match 3']"
105420,"['action', 'indie', 'platformer', 'female protagonist', 'co-op', 'comedy', 'local co-op', 'difficult', 'funny', 'singleplayer']"
105450,"['strategy', 'rts', 'base-building', 'multiplayer', 'historical', 'resource management', 'city builder', 'war', 'simulation', 'singleplayer', 'real-time', 'military', 'classic', 'building', 'open world', 'co-op', 'action', 'online co-op', 'real-time with pause', 'adventure']"
105600,"['open world survival craft', 'sandbox', 'survival', '2d', 'multiplayer', 'adventure', 'pixel graphics', 'crafting', 'building', 'exploration', 'co-op', 'open world', 'online co-op', 'indie', 'action', 'rpg', 'singleplayer', 'replay value', 'platformer', 'atmospheric']"
105700,"['indie', 'action', 'adventure', 'local co-op', 'platformer', 'retro', 'pixel graphics', 'local multiplayer']"
106000,"['action', 'adventure', 'medieval', 'hack and slash']"
10680,"['action', 'fps', 'aliens', 'multiplayer', 'sci-fi', 'horror', 'shooter', 'singleplayer', 'gore', 'first-person', 'stealth', 'atmospheric', 'survival', 'co-op', 'blood', 'hunting', 'survival horror', 'adventure', 'online co-op', 'strategy']"
107100,"['great soundtrack', 'indie', 'action', 'singleplayer', 'narration', 'rpg', 'hack and slash', 'story rich', 'dynamic narration', 'isometric', 'adventure', 'action rpg', 'fantasy', 'atmospheric', 'colorful', 'post-apocalyptic', '2d', 'music', 'twin stick shooter', 'controller']"
107200,"['space', 'action', 'indie', 'sci-fi', 'top-down', 'strategy', 'rpg', 'zombies', 'singleplayer', 'procedural generation', '2d', 'open world', 'pirates', 'exploration', 'shooter', 'sandbox', 'addictive', 'gore', 'adventure', 'spaceships']"
107300,"['jrpg', 'rpg', 'funny', 'indie', 'retro', 'comedy', 'pixel graphics', 'singleplayer', 'turn-based', 'parody ', 'short', '2d', 'fantasy', 'old school', 'adventure', 'horror', 'top-down']"
107310,"['jrpg', 'lovecraftian', 'comedy', 'rpg', 'indie', 'retro', 'turn-based', 'fantasy', 'funny', 'singleplayer', 'adventure', 'parody ', 'pixel graphics', '2d', 'great soundtrack', 'dark humor', 'old school', 'action', 'memes', 'horror']"
107410,"['military', 'action', 'multiplayer', 'shooter', 'simulation', 'realistic', 'first-person', 'open world', 'tactical', 'fps', 'war', 'co-op', 'strategy', 'sandbox', 'singleplayer', 'moddable', 'combat', 'online co-op', 'team-based', 'third-person shooter']"
