APPID,tags
10,"{'Action': 5504, 'FPS': 4929, 'Multiplayer': 3474, 'Shooter': 3419, 'Classic': 2849, 'Team-Based': 1921, 'First-Person': 1761, 'Competitive': 1654, 'Tactical': 1391, ""1990's"": 1246, 'e-sports': 1232, 'PvP': 928, 'Old School': 829, 'Military': 665, 'Strategy': 642, 'Survival': 323, 'Score Attack': 304, '1980s': 285, 'Assassin': 248, 'Nostalgia': 206}"
1002,"{'2D Fighter': 47, 'Martial Arts': 41, 'Intentionally Awkward Controls': 31, 'Physics': 30, 'Indie': 29, 'Multiplayer': 29, 'Fighting': 27, 'Singleplayer': 27, 'Action': 26, '2D': 18}"
100400,"{'Animation & Modeling': 23, 'Software': 11}"
10090,"{'Zombies': 1198, 'World War II': 903, 'FPS': 894, 'Multiplayer': 799, 'Action': 762, 'Shooter': 750, 'Singleplayer': 673, 'Co-op': 672, 'First-Person': 606, 'Moddable': 601, 'War': 548, 'Online Co-Op': 481, 'Gore': 443, 'Historical': 408, 'Classic': 346, 'Survival': 319, 'Great Soundtrack': 294, 'Horror': 292, 'Tanks': 278, 'Adventure': 260}"
100980,"{'Animation & Modeling': 38, 'Utilities': 22, 'Design & Illustration': 21, 'Photo Editing': 21, 'Education': 21, 'Game Development': 21}"
10100,"{'Adventure': 69, 'Point & Click': 54, 'Classic': 39, 'Fantasy': 29, 'Retro': 27, 'Pixel Graphics': 17, 'Puzzle': 14, ""1990's"": 14, '1980s': 13, 'Singleplayer': 11, 'Old School': 9, '2D': 8, 'Female Protagonist': 7, 'Escape Room': 5}"
10110,"{'Adventure': 70, 'Point & Click': 53, 'Classic': 45, 'Comedy': 33, 'Retro': 32, 'Space': 24, ""1990's"": 21, 'Futuristic': 16, 'Robots': 14, 'Survival': 12, 'Epic': 12, 'Replay Value': 10, '2D': 10, 'Funny': 7, 'Singleplayer': 7, 'Remake': 7, 'Cult Classic': 7, 'Story Rich': 6, 'Escape Room': 6}"
10120,"{'Action': 23, 'Casual': 22, 'Space': 11, 'On-Rails Shooter': 8, 'Arcade': 6}"
10130,"{'Action': 96, 'FPS': 91, 'Time Manipulation': 78, 'Sci-fi': 66, 'Shooter': 45, 'First-Person': 42, 'Singleplayer': 41, 'Atmospheric': 36, 'Bullet Time': 29, 'Classic': 26, 'Multiplayer': 22, 'Futuristic': 21, 'Time Travel': 21, 'Alternate History': 10, 'Gore': 8}"
10140,"{'Sports': 55, 'Mini Golf': 38, 'Golf': 35, 'Local Multiplayer': 9, 'Singleplayer': 6}"
10150,"{'Action': 579, 'Open World': 544, 'Gore': 363, 'Singleplayer': 342, 'Third Person': 326, 'Adventure': 321, 'Superhero': 316, 'Parkour': 295, 'Violent': 234, 'Hack and Slash': 212, 'Zombies': 208, 'Action-Adventure': 195, 'Sci-fi': 166, 'Story Rich': 144, 'Sandbox': 142, 'RPG': 131, 'Stealth': 116, 'Controller': 95, 'Atmospheric': 94, 'Horror': 88}"
10180,"{'Action': 1828, 'FPS': 1523, 'Multiplayer': 1291, 'Shooter': 1020, 'First-Person': 845, 'Singleplayer': 781, 'War': 697, 'Military': 643, 'Co-op': 542, 'Online Co-Op': 511, 'PvP': 447, 'Great Soundtrack': 346, 'Story Rich': 328, 'Atmospheric': 249, 'Controller': 241, 'Adventure': 236, 'Tactical': 233, 'Linear': 191, 'Strategy': 167, 'Moddable': 159}"
10220,"{'Action': 124, 'Gore': 100, 'Dark Humor': 97, 'Violent': 81, 'Third-Person Shooter': 77, 'Funny': 69, 'Open World': 67, 'Third Person': 60, 'Singleplayer': 57, 'Shooter': 53, 'Comedy': 53, 'Psychological Horror': 46, 'Mature': 46, 'Sandbox': 32, 'Nudity': 31, 'Great Soundtrack': 27, 'Sexual Content': 21, 'Adventure': 19, 'Hentai': 16, 'Anime': 14}"
102200,"{'Card Battler': 50, 'Card Game': 47, 'Deckbuilding': 46, 'RPG': 43, 'Indie': 42, 'Casual': 29, 'Adventure': 25, 'Fantasy': 18, 'Singleplayer': 15}"
10230,"{'Adventure': 30, 'Point & Click': 18, 'Atmospheric': 5}"
10240,"{'Adventure': 27, 'Point & Click': 12, 'World War II': 6}"
10250,"{'Simulation': 25, 'Naval': 5}"
102500,"{'RPG': 901, 'Fantasy': 628, 'Open World': 595, 'Singleplayer': 516, 'Action RPG': 456, 'Action': 428, 'Adventure': 361, 'Third Person': 347, 'Loot': 248, 'Story Rich': 241, 'Magic': 221, 'Character Customization': 206, 'Hack and Slash': 179, 'Exploration': 119, 'Controller': 100, 'Sandbox': 93, 'Atmospheric': 81, 'Crafting': 75, 'Female Protagonist': 63, 'Great Soundtrack': 37}"
10260,"{'Simulation': 26, 'World War II': 5, 'Naval': 5}"
102600,"{'Tower Defense': 503, 'Action': 303, 'Strategy': 261, 'Third Person': 208, 'Fantasy': 182, 'Indie': 170, 'Singleplayer': 169, 'Comedy': 134, 'Funny': 103, 'Third-Person Shooter': 98, 'Cartoony': 73, 'Magic': 65, 'Great Soundtrack': 55, 'Multiplayer': 50, 'Score Attack': 49, 'Addictive': 48, 'Shooter': 47, 'Adventure': 32, 'RPG': 30, 'Arcade': 28}"
10270,"{'RPG': 165, 'Strategy': 148, 'Turn-Based Strategy': 141, 'Turn-Based': 92, 'Fantasy': 69, 'Dark Fantasy': 41, 'Gothic': 29, 'Singleplayer': 29, 'Multiplayer': 28, 'Atmospheric': 11, 'Adventure': 7, 'Classic': 7}"
